COUNTY,CASE_STATUS,Cases,Deaths,Updated
Alcona,Confirmed,163,3,2020/11/28 13:25:03
Alcona,Probable,13,0,2020/11/28 13:25:03
Alger,Confirmed,158,1,2020/11/28 13:25:03
Alger,Probable,75,1,2020/11/28 13:25:03
Allegan,Confirmed,3559,28,2020/11/28 13:25:03
Allegan,Probable,311,5,2020/11/28 13:25:03
Alpena,Confirmed,575,17,2020/11/28 13:25:03
Alpena,Probable,62,0,2020/11/28 13:25:03
Antrim,Confirmed,389,5,2020/11/28 13:25:03
Antrim,Probable,24,0,2020/11/28 13:25:03
Arenac,Confirmed,381,14,2020/11/28 13:25:03
Arenac,Probable,44,0,2020/11/28 13:25:03
Baraga,Confirmed,406,15,2020/11/28 13:25:03
Baraga,Probable,60,0,2020/11/28 13:25:03
Barry,Confirmed,1983,13,2020/11/28 13:25:03
Barry,Probable,123,0,2020/11/28 13:25:03
Bay,Confirmed,4223,91,2020/11/28 13:25:03
Bay,Probable,155,0,2020/11/28 13:25:03
Benzie,Confirmed,354,5,2020/11/28 13:25:03
Benzie,Probable,45,0,2020/11/28 13:25:03
Berrien,Confirmed,6219,111,2020/11/28 13:25:03
Berrien,Probable,412,4,2020/11/28 13:25:03
Branch,Confirmed,2045,27,2020/11/28 13:25:03
Branch,Probable,203,3,2020/11/28 13:25:03
Calhoun,Confirmed,5290,115,2020/11/28 13:25:03
Calhoun,Probable,624,5,2020/11/28 13:25:03
Cass,Confirmed,1994,29,2020/11/28 13:25:03
Cass,Probable,177,0,2020/11/28 13:25:03
Charlevoix,Confirmed,515,8,2020/11/28 13:25:03
Charlevoix,Probable,55,0,2020/11/28 13:25:03
Cheboygan,Confirmed,436,20,2020/11/28 13:25:03
Cheboygan,Probable,44,0,2020/11/28 13:25:03
Chippewa,Probable,475,0,2020/11/28 13:25:03
Chippewa,Confirmed,360,5,2020/11/28 13:25:03
Clare,Confirmed,665,25,2020/11/28 13:25:03
Clare,Probable,80,0,2020/11/28 13:25:03
Clinton,Confirmed,2499,22,2020/11/28 13:25:03
Clinton,Probable,188,0,2020/11/28 13:25:03
Crawford,Confirmed,307,5,2020/11/28 13:25:03
Crawford,Probable,22,0,2020/11/28 13:25:03
Delta,Confirmed,2188,48,2020/11/28 13:25:03
Delta,Probable,249,10,2020/11/28 13:25:03
Detroit City,Confirmed,20046,1583,2020/11/28 13:25:03
Detroit City,Probable,1498,116,2020/11/28 13:25:03
Dickinson,Confirmed,1621,40,2020/11/28 13:25:03
Dickinson,Probable,90,6,2020/11/28 13:25:03
Eaton,Confirmed,2903,37,2020/11/28 13:25:03
Eaton,Probable,173,0,2020/11/28 13:25:03
Emmet,Confirmed,878,28,2020/11/28 13:25:03
Emmet,Probable,62,0,2020/11/28 13:25:03
FCI,Confirmed,195,5,2020/11/28 13:25:03
FCI,Probable,5,0,2020/11/28 13:25:03
Genesee,Confirmed,12935,392,2020/11/28 13:25:03
Genesee,Probable,1807,29,2020/11/28 13:25:03
Gladwin,Confirmed,688,9,2020/11/28 13:25:03
Gladwin,Probable,112,1,2020/11/28 13:25:03
Gogebic,Confirmed,567,11,2020/11/28 13:25:03
Gogebic,Probable,203,12,2020/11/28 13:25:03
Grand Traverse,Confirmed,1740,19,2020/11/28 13:25:03
Grand Traverse,Probable,175,0,2020/11/28 13:25:03
Gratiot,Confirmed,1456,29,2020/11/28 13:25:03
Gratiot,Probable,111,0,2020/11/28 13:25:03
Hillsdale,Confirmed,1539,35,2020/11/28 13:25:03
Hillsdale,Probable,104,2,2020/11/28 13:25:03
Houghton,Confirmed,1255,11,2020/11/28 13:25:03
Houghton,Probable,264,2,2020/11/28 13:25:03
Huron,Confirmed,626,14,2020/11/28 13:25:03
Huron,Probable,130,0,2020/11/28 13:25:03
Ingham,Confirmed,8675,107,2020/11/28 13:25:03
Ingham,Probable,157,0,2020/11/28 13:25:03
Ionia,Confirmed,2266,15,2020/11/28 13:25:03
Ionia,Probable,54,0,2020/11/28 13:25:03
Iosco,Confirmed,649,22,2020/11/28 13:25:03
Iosco,Probable,66,1,2020/11/28 13:25:03
Iron,Confirmed,680,29,2020/11/28 13:25:03
Iron,Probable,36,4,2020/11/28 13:25:03
Isabella,Confirmed,2166,19,2020/11/28 13:25:03
Isabella,Probable,243,0,2020/11/28 13:25:03
Jackson,Confirmed,5107,101,2020/11/28 13:25:03
Jackson,Probable,75,2,2020/11/28 13:25:03
Kalamazoo,Confirmed,8026,158,2020/11/28 13:25:03
Kalamazoo,Probable,1278,5,2020/11/28 13:25:03
Kalkaska,Confirmed,329,5,2020/11/28 13:25:03
Kalkaska,Probable,26,0,2020/11/28 13:25:03
Kent,Confirmed,31021,338,2020/11/28 13:25:03
Kent,Probable,1561,6,2020/11/28 13:25:03
Keweenaw,Confirmed,56,1,2020/11/28 13:25:03
Keweenaw,Probable,12,1,2020/11/28 13:25:03
Lake,Confirmed,187,4,2020/11/28 13:25:03
Lake,Probable,4,0,2020/11/28 13:25:03
