"CTYNAME","pop2020","GrowthRate"
"Wayne County","1749150","-3.6366"
"Oakland County","1265240","5.1632"
"Macomb County","880325","4.6318"
"Kent County","662896","9.9361"
"Genesee County","405330","-4.6172"
"Washtenaw County","374473","8.3363"
"Ottawa County","297638","12.6892"
"Ingham County","293551","4.4249"
"Kalamazoo County","268608","7.1235"
"Livingston County","193900","7.0892"
"Saginaw County","188408","-5.7310"
"Muskegon County","173452","0.8964"
"St. Clair County","159585","-1.9103"
"Jackson County","159089","-0.6470"
"Berrien County","153699","-1.9414"
"Monroe County","152133","0.1330"
"Calhoun County","134745","-0.8878"
"Allegan County","119115","6.8028"
"Eaton County","110524","2.5707"
"Bay County","103391","-3.9840"
"Lenawee County","97834","-1.8076"
"Grand Traverse County","94127","8.2280"
"Lapeer County","87718","-0.5533"
"Midland County","83137","-0.6228"
"Clinton County","80898","7.2832"
"Van Buren County","75652","-0.6501"
"Isabella County","69436","-1.2192"
"Shiawassee County","67658","-4.2051"
"Marquette County","66418","-0.9839"
"Montcalm County","64816","2.3675"
"Ionia County","64172","0.5169"
"Barry County","62213","5.2780"
"St. Joseph County","61491","0.3394"
"Cass County","52053","-0.3675"
"Tuscola County","51960","-6.7263"
"Newaygo County","50026","3.4108"
"Hillsdale County","45561","-2.3177"
"Branch County","44020","-2.5675"
"Mecosta County","43919","2.4900"
"Sanilac County","41108","-4.5797"
"Gratiot County","39775","-6.2596"
"Chippewa County","37123","-3.8538"
"Houghton County","35863","-2.3605"
"Delta County","35779","-3.4279"
"Wexford County","33886","3.4971"
"Emmet County","33670","3.1272"
"Clare County","31077","0.2355"
"Huron County","30956","-6.4293"
"Mason County","29254","1.8593"
"Alpena County","28204","-4.4483"
"Oceana County","26959","1.7206"
"Charlevoix County","26294","1.3803"
"Gladwin County","25537","-0.7540"
"Cheboygan County","25443","-2.3751"
"Dickinson County","25293","-3.3068"
"Iosco County","24999","-3.2322"
"Otsego County","24857","2.9318"
"Manistee County","24742","0.6304"
"Roscommon County","24102","-1.3870"
"Antrim County","23557","0.2938"
"Osceola County","23515","0.0468"
"Menominee County","22935","-4.3099"
"Leelanau County","21940","1.0036"
"Ogemaw County","20968","-2.9978"
"Kalkaska County","18282","6.6441"
"Benzie County","18051","3.1073"
"Missaukee County","15277","3.1115"
"Arenac County","15057","-4.9852"
"Gogebic County","14612","-10.8807"
"Crawford County","13869","-1.3164"
"Presque Isle County","12674","-4.7998"
"Lake County","11675","1.4247"
"Iron County","11113","-5.8938"
"Mackinac County","10849","-2.3580"
"Alcona County","10440","-4.0177"
"Montmorency County","9337","-4.5004"
"Alger County","9017","-5.8670"
"Oscoda County","8302","-3.4539"
"Schoolcraft County","8112","-4.2267"
"Baraga County","8084","-8.7688"
"Luce County","6133","-7.0617"
"Ontonagon County","5635","-16.8388"
"Keweenaw County","2135","-1.5675"
